ranking,World Rank,University,Det.,Presence Rank*,Impact Rank*,Openness Rank*,Excellence Rank*
1229,25546,Faculdade São Vicente FASVIPA,,25320,25225,11401,6033
1230,25554,Instituto Educacional Santa Catarina Faculdade Guaraí,,16542,25878,11401,6033
1231,25569,Faculdade do Sudeste Goiano FASUG,,20435,25646,11401,6033
1232,25569,Faculdades Integradas UNESULBAHIA,,20403,25663,11401,6033
1233,25581,Faculdade de Palmas FAPAL,,25071,25290,11401,6033
1234,25591,UNIFAMETRO Fortaleza,,20808,25660,11401,6033
1235,25615,Escola Superior de Gestão e Ciencias da Saúde IAHCS,,27782,24121,11401,6033
1236,25615,Faculdade de Ciências Gerenciais da Bahia,,23763,25465,11401,6033
1237,25624,ISEAF Instituto Superior de Educação Antonino Freire,,23540,25489,11401,6033
1238,25635,Faculdade Imaculada Conceição do Recife (Faculdade Marista),,13472,26125,11401,6033
1239,25671,Instituto Superior de Educação de Barretos ISEB,,26085,25271,11401,6033
1240,25687,Faculdade de Conchas FACON,,24865,25419,11401,6033
1241,25687,Faculdades Dom Bosco,,26067,25290,11401,6033
1242,25698,Faculdades Integradas de Caratinga,,27782,24246,11401,6033
1243,25704,Faculdade Bertioga FABE,,23540,25572,11401,6033
1244,25704,Faculdade de Realeza,,27782,24255,11401,6033
1245,25736,UNIESP Instituto de Ensino Superior de Garça IESG,,26935,25190,11401,6033
1246,25736,Fundação Antônio Almeida e Silva FUNDAL,,26166,25352,11401,6033
1247,25745,Faculdade União Araruama de Ensino,,23088,25693,11401,6033
1248,25762,Faculdade Vale do Gorutuba FAVAG,,19284,25940,11401,6033
1249,25769,Faculdade da Vila Matilde (Faculdade de Tecnología Alvares de Azevedo FAATESP),,28051,24153,11401,6033
1250,25781,Faculdade de Timbaúba,,25410,25509,11401,6033
1251,25781,Faculdade de Nova Serrana FANS,,21633,25826,11401,6033
1252,25859,Faculdade de Teologia e Ciencias Humanas,,23689,25753,11401,6033
1253,25908,FACE Faculdade Casa do Estudante,,21304,25984,11401,6033
1254,25908,(1) Instituto Betel de Ensino Superior IBES,,26495,25477,11401,6033
1255,25919,Instituto Federal de Educação do Ceará IFCE Campus Crato,,28051,24377,11401,6033
1256,25925,Faculdade UNICA União de Ensino Superior de Cafelândia,,24434,25753,11401,6033
1257,25970,Instituto Savonitti de Ensino Superior,,20756,26091,11401,6033
1258,25991,Faculdade Única de Ipatinga,,22033,26030,11401,6033
1259,26004,Faculdade Já,,27782,24767,11401,6033
1260,26016,Faculdade de Tecnología Egidio José da Silva FATEGIDIO,,27603,25031,11401,6033
1261,26016,Faculdade Vizinhança Vale do Iguaçu Vizivali,,27782,24774,11401,6033
1262,26037,Faculdade da Fronteira FAF,,27705,24909,11401,6033
1263,26047,(1) Faculdade Capin Grosso,,26778,25576,11401,6033
1264,26051,Faculdade de Direito da Bahia,,27603,25081,11401,6033
1265,26062,Faculdade de Tecnología / Instituto de Educação Superior da Paraíba FATECPB,,27327,25382,11401,6033
1266,26077,Faculdade Santa Rita de Cassia,,19841,26235,11401,6033
1267,26089,Instituto C G Jung,,27378,25352,11401,6033
1268,26103,Centro de Ensino Superior de Primavera CESPRI,,27327,25447,11401,6033
1269,26128,Faculdade Paulista,,23947,26055,11401,6033
1270,26137,Faculdade Santo Antônio,,25809,25878,11401,6033
1271,26144,Faculdade de Iporá FAI,,21927,26212,11401,6033
1272,26144,Faculdade de Estudos Sociais Aplicados de Viana FESAV,,26687,25742,11401,6033
1273,26144,Centro Técnico-Educacional Superior do Oeste Paranaense CTESOP,,22864,26138,11401,6033
1274,26151,Faculdade de Ciências Educacionais FACE,,25973,25889,11401,6033
1275,26189,Grupo UNIFOX,,27386,25471,11401,6033
1276,26196,Faculdade de Betim AAS,,16074,26541,11401,6033
1277,26196,Faculdade Teologica de Ciencias Humanas e Sociais Logos FAETEL,,26660,25804,11401,6033
1278,26196,Faculdade de Educação e Tecnología da Região Missioneira FETREMIS,,22117,26248,11401,6033
1279,26204,FacUnicamps,,24534,26091,11401,6033
1280,26215,Instituto Educar,,599,27341,11401,6033
1281,26227,Faculdade do Centro Educacional Mineiro FACEM,,25133,26078,11401,6033
1282,26258,Escola Superior de Marketing FAMA,,27705,25239,11401,6033
1283,26280,Faculdade Sao Francisco,,26583,25933,11401,6033
1284,26292,Faculdade Alfa Almenara Minas Gerais,,24750,26171,11401,6033
1285,26292,Faculdade Salesiana de Santa Teresa FSST,,19626,26483,11401,6033
1286,26292,Faculdade Ideal UNIDEAL,,21701,26372,11401,6033
1287,26299,Faculdades Integradas da Vitoria de Santo Antao FAINTVISA,,17114,26581,11401,6033
1288,26323,Faculdade Presbiteriana FATESUL,,27342,25703,11401,6033
1289,26331,Universidade Aberta Vida,,25940,26091,11401,6033
1290,26342,Faculdade Corporativa CESPI FACESPI (UNICESPI),,21840,26398,11401,6033
1291,26342,Centro Universitário UNIPTAN,,21840,26398,11401,6033
1292,26355,Faculdade Internacional do Delta,,27204,25817,11401,6033
1293,26355,Faculdade UNISABER,,27782,25254,11401,6033
1294,26382,Faculdade 15 de Agosto FAQ15,,23715,26332,11401,6033
1295,26392,Faculdade Dom Luciano Mendes,,21840,26455,11401,6033
1296,26402,Autarquia de Ensino Superior de Limoeiro AESL,,25133,26245,11401,6033
1297,26460,Instituto Brasiliense de Tecnología e Ciencias IBTC,,26982,26016,11401,6033
1298,26470,UniFASS,,27648,25533,11401,6033
1299,26478,Faculdade de Sabará,,18189,26681,11401,6033
1300,26519,Faculdade Cenecista da Ilha do Governador,,24928,26364,11401,6033
1301,26519,Faculdade Padrão Aparecida,,27782,25447,11401,6033
1302,26539,UniSãopaulo Instituto São Paulo de Formação e Especialização Profissional,,27127,26055,11401,6033
1303,26546,Faculdade Calafiori,,13274,26939,11401,6033
1304,26546,Instituto FEPAF,,27252,26011,11401,6033
1305,26591,Faculdade Anglicana de Tapejara FAT,,15574,26917,11401,6033
1306,26633,Faculdade de Castro INEC,,28051,25447,11401,6033
1307,26640,Faculdade Gennari e Peartree FGP,,21065,26715,11401,6033
1308,26643,Faculdade de Tecnologia MOCOCA,,27455,25966,11401,6033
1309,26649,Faculdade Evangélica Beth Shalom FEBS,,27127,26196,11401,6033
1310,26659,Escola de Música Carlos Gomes,,25491,26483,11401,6033
1311,26659,Faculdades do Baixo Parnaíba FAP,,23868,26581,11401,6033
1312,26666,União de Faculdades de Alagoas e Faculdade Figueiredo Costa FIC UNIFAL,,24655,26541,11401,6033
1313,26735,Instituto Abuchaim,,26621,26434,11401,6033
1314,26751,Faculdade de Tecnologia de Palmas FATEP,,27705,25866,11401,6033
1315,26756,UNITERP,,26110,26522,11401,6033
1316,26764,Faculdade de Teologia e Filosofia Fides Reformada FATEFFIR,,27782,25798,11401,6033
1317,26768,Faculdades Integradas de Cuiabá FIC,,28051,25634,11401,6033
1318,26771,Faculdade Católica Santa Teresinha,,21104,26871,11401,6033
1319,26797,UNISÃOMIGUEL,,23064,26815,11401,6033
1320,26797,Faculdade Cenecista Nossa Senhora dos Anjos FACENSA,,22107,26859,11401,6033
1321,26804,Faculdade do Sertão Baiano Monte Santo FASB,,19208,26977,11401,6033
1322,26821,Instituto Superior de Educação Elvira Dayrell ISEED FAVED,,23981,26795,11401,6033
1323,26821,Faculdade Alfa Brasil Cascavel,,27004,26457,11401,6033
1324,26821,Faculdade e Seminário Teológico da Fé Reformada FATEFE,,26495,26559,11401,6033
1325,26856,Faculdade Cenecista de Sete Lagoas,,23981,26817,11401,6033
1326,26862,Instituto Tecnológico do Sudoeste Paulista,,27410,26312,11401,6033
1327,26874,Faculdade de Maceió FAMA,,22125,26939,11401,6033
1328,26874,Faculdade Presidente Antônio Carlos de Aimorés UNIPAC,,24569,26812,11401,6033
1329,26882,Faculdade Internacional de Teologia das Assembléias de Deus,,27495,26282,11401,6033
