ranking,World Rank,University,Det.,Presence Rank*,Impact Rank*,Openness Rank*,Excellence Rank*
143,441,(3) University of Texas Health Science Center at San Antonio,,2040,729,109,423
144,442,Medical University of South Carolina,,2752,775,263,363
145,458,Illinois Institute of Technology,,1217,278,452,769
146,461,Loyola University Chicago,,1050,313,632,688
147,462,Mississippi State University,,932,289,799,703
148,467,Saint Louis University,,1849,361,715,608
149,468,Rockefeller University,,4137,704,104,453
150,469,University of Wyoming,,1553,347,583,664
151,473,New Mexico State University,,782,248,588,831
152,474,University of Texas San Antonio,,1530,526,286,579
153,475,Montana State University,,1210,305,416,766
154,480,University of Nevada Reno,,1293,315,493,737
155,483,George Washington University,,106,72,11401,292
156,488,Old Dominion University,,1271,379,434,718
157,490,College of William & Mary,,1032,290,650,781
158,491,University of Idaho,,1417,284,489,805
159,493,Thomas Jefferson University,,2182,880,306,391
160,494,University of Rhode Island,,1023,303,369,838
161,503,University of Nevada Las Vegas,,1059,348,395,789
162,505,Northern Illinois University,,1185,283,1045,748
163,507,Medical College of Wisconsin,,1853,783,447,441
164,516,Lehigh University,,1463,358,415,817
165,520,University of North Carolina Charlotte,,1070,437,564,722
166,528,Binghamton University,,2047,350,406,825
167,531,American University Washington DC,,940,175,606,1124
168,533,University of Denver,,1266,282,524,922
169,543,Ohio University,,1452,355,753,815
170,548,(3) University of Kansas Medical Center,,2909,752,432,526
171,551,Northern Arizona University,,1007,304,353,1007
172,556,Fordham University,,1417,161,824,1197
173,561,East Carolina University,,372,454,688,834
174,563,University of Akron,,1876,498,620,739
175,565,New Jersey Institute of Technology,,2025,460,359,838
176,569,San Francisco State University,,1374,231,932,1051
177,570,Florida Atlantic University,,1293,394,380,934
178,573,Icahn School of Medicine at Mount Sinai,,5819,1398,2931,141
179,576,University of Massachusetts Boston,,1027,418,662,880
180,578,Southern Illinois University,,1041,419,992,827
181,587,Colorado School of Mines,,2543,698,482,660
182,592,North Dakota State University,,1319,508,703,814
