Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2017);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Categories
1100;28523;"Terrorism and Political Violence";journal;"09546553";1,163;Q1;40;110;185;4589;322;131;2,13;41,72;United Kingdom;"Frank Cass Publishers";"Political Science and International Relations (Q1); Safety Research (Q1); Safety, Risk, Reliability and Quality (Q1); Sociology and Political Science (Q1)"
1101;17500155156;"Early Intervention in Psychiatry";journal;"17517885";1,163;Q1;32;135;235;2793;437;180;2,39;20,69;United Kingdom;"Blackwell Publishing Inc.";"Psychiatric Mental Health (Q1); Psychiatry and Mental Health (Q1); Biological Psychiatry (Q2)"
1102;21100203116;"CKJ: Clinical Kidney Journal";journal;"20488513, 20488505";1,163;Q1;25;74;398;2942;925;355;3,00;39,76;United Kingdom;"Oxford University Press";"Nephrology (Q1); Transplantation (Q2)"
1103;21100389511;"Energy Reports";journal;"23524847";1,161;Q1;11;15;70;694;286;69;4,14;46,27;United Kingdom;"Elsevier Limited";"Energy (miscellaneous) (Q1)"
1104;21726;"BMC Genetics";journal;"14712156";1,160;Q2;62;120;495;5571;1316;486;2,57;46,43;United Kingdom;"BioMed Central";"Genetics (Q2); Genetics (clinical) (Q2)"
1105;18089;"Advances in Engineering Software";journal;"09659978";1,159;Q1;61;122;384;4657;1495;368;3,37;38,17;United Kingdom;"Elsevier Ltd.";"Engineering (miscellaneous) (Q1); Software (Q1)"
1106;15315;"Oxford Review of Education";journal;"03054985, 14653915";1,158;Q1;50;58;137;2298;234;129;1,47;39,62;United Kingdom;"Carfax Publishing Ltd.";"Education (Q1)"
1107;12715;"Journal of Human Nutrition and Dietetics";journal;"09523871, 1365277X";1,157;Q1;54;88;285;3451;805;278;2,56;39,22;United Kingdom;"Blackwell Publishing Inc.";"Medicine (miscellaneous) (Q1); Nutrition and Dietetics (Q2)"
1108;5600155948;"European Law Journal";journal;"13515993, 14680386";1,157;Q1;37;34;140;1542;223;124;1,86;45,35;United Kingdom;"Blackwell Publishing Inc.";"Law (Q1)"
1109;12700154702;"Biofuels, Bioproducts and Biorefining";journal;"1932104X";1,156;Q1;67;80;290;4513;771;193;3,04;56,41;United Kingdom;"John Wiley & Sons Ltd.";"Bioengineering (Q1); Renewable Energy, Sustainability and the Environment (Q2)"
1110;15061;"Agricultural Systems";journal;"18732267, 0308521X";1,156;Q1;88;172;373;9803;1307;366;3,12;56,99;United Kingdom;"Applied Science Publishers";"Agronomy and Crop Science (Q1); Animal Science and Zoology (Q1)"
1111;18144;"Computer-Aided Civil and Infrastructure Engineering";journal;"14678667, 10939687";1,154;Q1;61;64;188;3221;929;175;5,37;50,33;United Kingdom;"Blackwell Publishing Inc.";"Civil and Structural Engineering (Q1); Computational Theory and Mathematics (Q1); Computer Graphics and Computer-Aided Design (Q1); Computer Science Applications (Q1)"
1112;28806;"Nurse Education Today";journal;"02606917";1,154;Q1;60;257;899;8280;1886;806;1,99;32,22;United Kingdom;"Churchill Livingstone";"Education (Q1); Nursing (miscellaneous) (Q1)"
1113;12342;"International Journal of Control";journal;"00207179";1,152;Q1;99;448;631;6638;1550;608;2,17;14,82;United Kingdom;"Taylor & Francis";"Computer Science Applications (Q1); Control and Systems Engineering (Q1)"
1114;29859;"Smart Materials and Structures";journal;"09641726, 1361665X";1,152;Q1;124;476;1465;18000;4874;1447;3,01;37,82;United Kingdom;"Institute of Physics Publishing";"Atomic and Molecular Physics, and Optics (Q1); Civil and Structural Engineering (Q1); Condensed Matter Physics (Q1); Electrical and Electronic Engineering (Q1); Materials Science (miscellaneous) (Q1); Mechanics of Materials (Q1); Signal Processing (Q1)"
1115;29284;"Journal of Safety Research";journal;"00224375";1,151;Q1;70;94;188;3433;458;182;2,45;36,52;United Kingdom;"Elsevier Ltd.";"Safety, Risk, Reliability and Quality (Q1)"
1116;17591;"Law and Society Review";journal;"00239216, 15405893";1,151;Q1;63;36;89;2399;116;79;1,49;66,64;United Kingdom;"Blackwell Publishing Inc.";"Law (Q1); Sociology and Political Science (Q1)"
1117;28098;"BMC Health Services Research";journal;"14726963";1,151;Q1;83;848;2064;33471;4453;2015;1,74;39,47;United Kingdom;"BioMed Central";"Health Policy (Q1)"
