ranking,World Rank,University,Det.,Presence Rank*,Impact Rank*,Openness Rank*,Excellence Rank*
76,14236,University of Professional Education Schoevers,,14892,12146,11401,6033
77,14417,Pro Education Hogeschool Van Amsterdam,,7995,12947,11401,6033
78,14519,Business School Netherlands,,18729,12262,11401,6033
79,14568,TMO Hogeschool voor Modemanagement,,20628,12143,11401,6033
80,14597,Catholic University of Professional Education Zwolle / Katholieke Pabo Zwolle,,14709,12724,11401,6033
81,14627,UP Learning (STOAS Agricultural University of Professional Education),,17696,12514,11401,6033
82,14691,Dirksen University of Professional Education / Dirksen Opleidingen,,21061,12279,11401,6033
83,14983,Notenboom Business School,,20595,12715,11401,6033
84,15119,Hogeschool de Kempel,,18819,13053,11401,6033
85,15119,Theologische Universiteit Apeldoorn,,20889,12886,11401,6033
86,15178,Marnix Academy / Marnix Academie,,18500,13182,11401,6033
87,15213,Instituut voor Autobranche en Management Driebergen,,21725,12920,11401,6033
88,15243,Islamic University of Rotterdam / Islamitische Universiteit Rotterdam,,21285,12995,11401,6033
89,15476,Eurocollege Hogeschool / EuroCollege University of Applied Sciences,,21678,13280,11401,6033
90,15604,Universiteit van Amsterdam Department of Media Studies,,20894,13518,11401,6033
91,15649,Network University,,19898,13650,11401,6033
92,15683,TSM Business School,,22357,13462,11401,6033
93,16437,University of Professional Education in Midwifery / Academie Verloskunde Amsterdam Groningen,,18281,14811,11401,6033
94,16546,KLM Flight Academy,,23448,14420,11401,6033
95,16620,Hogeschool NOVI,,20854,14807,11401,6033
96,16691,Aeres Training Centre International,,20334,14958,11401,6033
97,16835,"Graduate School VLAG Advanced Studies in Food Technology, Agrobiotechnology, Nutrition and Health Sciences",,18550,15333,11401,6033
98,16884,DOC University of Professional Education / DOC Opleiding & Training,,22388,14999,11401,6033
99,17240,School for Public Health and Primary Care CAPHRI,,18592,15830,11401,6033
100,17587,IPABO Amsterdam,,19825,16146,11401,6033
101,17656,Instituut Voor Psychosynthese,,20957,16109,11401,6033
102,17673,De Wittenberg Hogeschool en Toerustingscentrum,,18132,16391,11401,6033
103,18250,Tyndale Theological Seminary,,22646,16673,11401,6033
104,18265,Interuniversity Center for Social Science Theory and Methodology,,23818,16542,11401,6033
105,18461,Vrije Hogeschool Bernard Lievegoed College For Liberal Arts,,21937,17009,11401,6033
106,18640,C T de Wit Graduate School for Production Ecology & Resource Conservation,,19176,17478,11401,6033
107,18779,Hogeschool voor Tolken en Vertalen (Vertol),,25900,16837,11401,6033
108,18813,"Netherlands Graduate Research School of Science, Technology and Modern Culture",,21458,17463,11401,6033
109,18918,EuroPort Business School,,19249,17820,11401,6033
110,19105,Hogeschool HBO Nederland,,22564,17768,11401,6033
111,19194,Major Seminary Rolduc,,22657,17849,11401,6033
112,19203,Inter College Business School,,22033,17928,11401,6033
113,19746,Casimir Research School,,11272,19493,11401,6033
114,20180,Graduate School Experimental Plant Sciences Wageningen,,21086,19211,11401,6033
115,20222,European Pilot Selection and Training,,22462,19140,11401,6033
116,20235,Schumann Academie University of Professional Education,,26166,18642,11401,6033
117,20420,Cornerstone Bible College,,20118,19674,11401,6033
118,20458,Bible School Foundation for Life / Bijbelschool Trainingsschool Foundation 4 Life,,27021,18637,11401,6033
119,20558,New School for Information Services,,23041,19528,11401,6033
120,21203,Interuniversity Graduate School of Psychometrics and Sociometrics,,21485,20498,11401,6033
121,21846,Holland Research School of Molecular Chemistry,,22144,21152,11401,6033
122,22073,Hogeschool voor Pedagogisch en Sociaal Agogisch Onderwijs SPO Groningen,,20816,21573,11401,6033
123,22515,National Dutch Graduate School of Polymer Science & Technology,,23064,21871,11401,6033
124,22641,Bourdon Hogeschool voor Muziek,,25220,21739,11401,6033
125,22965,Hogeschool SDO Stichting Deeltijd Opleidingen,,26827,21779,11401,6033
126,23132,Euritmie Academie Den Haag,,26660,22027,11401,6033
127,23213,Netherlands School of Primary Care Research,,23607,22669,11401,6033
128,23316,hbo A&A Hogeschool voor de Accountancy,,21776,22971,11401,6033
129,24012,J M Burgerscentrum Research School for Fluid Mechanics,,27705,22178,11401,6033
130,24693,Utrecht University Infection & Immunity Center,,19089,24852,11401,6033
131,24954,Cancer Stem cells & Developmental Biology Research School,,23514,24755,11401,6033
132,28142,(3) Erasmus University Rotterdam Center for Maritime Economics and Logistics,,25940,28137,11401,6033
