World Rank;University;Det.;Presence Rank*;Impact Rank*;Openness Rank*;Excellence Rank*
1994;Razi University Kermanshah;;244;8179;1687;1177
1995;High Point University;;4204;1711;2064;2692
1996;Istituto Dalle Molle di Studi sull'Intelligenza Artificiale;;10389;2752;821;2383
1996;Instituto Politécnico de Leiria;;2769;2587;2852;2203
1996;Zagazig University;;2452;6503;2253;1242
1999;Midwestern University;;9439;3572;1584;1905
2000;Maynooth University (National University of Ireland Maynooth);;1961;1576;11401;1146
2001;Vytautas Magnus University / Vytauto Didžiojo universitetas;;1241;2247;3706;2334
2001;École Nationale Supérieure des Arts et Métiers ENSAM;;5926;8962;1667;873
2003;(3) Dokkyo University School of Medicine / 獨協医科大学;;5819;3801;2412;1761
2003;Universidad de Almería;;1124;1695;11401;1133
2005;Southern Connecticut State University;;2719;1761;2622;2662
2006;(3) Shanghai Jiao Tong University School of Medicine (Second Medical University) / 上海交通大学医学院;;4926;1801;3503;2449
2006;Universidad Nacional del Sur;;2386;4087;2071;1821
2008;University of Occupational & Environmental Health Japan / 産業医科大学;;8069;4620;2851;1453
2009;University of New Haven;;5259;1439;2022;2899
2010;Kazimierz Wielki University Bydgoszcz / Uniwersytet Kazimierza Wielkiego w Bydgoszczy;;1063;2220;2659;2542
2011;Union College Schenectady NY;;2971;1022;2062;3381
2011;Civil Aviation University of China / 中国民航大学;;5511;1739;5284;2230
2013;University of Skovde / Högskolan i Skövde;;6118;2813;2196;2148
2014;Jilin Agricultural University / 吉林农业大学;;7098;1375;8764;1920
2014;Universidade Federal de Mato Grosso do Sul;;1417;2973;1877;2319
2016;Sumy State University / Сумський державний університет;;1063;1967;1678;2835
2016;University of Brunei Darussalam;;95;4967;1570;1933
2016;Hampshire College;;4707;1165;2546;3081
2019;Yüzüncü Yil University;;2387;3440;2265;2030
2020;Universidad Autónoma de Yucatán;;492;3516;1706;2241
2021;Instituto Politécnico de Lisboa;;2402;4139;2698;1755
2022;Ariel University;;3034;5514;1040;1652
2022;Dong-A University / 동아대학교;;3034;4377;5439;1359
2022;Universidad Católica San Antonio de Murcia;;3026;2623;2241;2334
2025;Universidade da Madeira;;3473;3694;1964;1966
2025;Harran University;;363;2141;2651;2692
2025;Kanagawa University / 神奈川大学;;2235;2964;2809;2148
2028;IHE Delft Institute for Water Education;;8950;5218;1368;1540
2028;University of Abertay;;5629;2279;2202;2418
2030;Azusa Pacific University;;3718;1364;2923;2921
2030;Inner Mongolia Agricultural University / 内蒙古农业大学;;4362;1681;4990;2369
2030;Richard Stockton College;;4298;1312;1738;3150
2030;Universidad de la Habana;;4073;1844;1782;2765
2034;Transilvania University of Brasov;;2998;3616;2693;1920
2035;Saint Cloud State University;;4035;822;2731;3522
2035;Chongqing University of Technology / 重庆理工大学;;3909;2946;3553;2016
2035;Norwegian University for Sport and Physical Education / Norges Idrettshøgskole;;12647;6362;999;1366
2035;(1) Medical University of Gdansk / Gdański Uniwersytet Medyczny;;3965;7492;1617;1171
2039;Southern Taiwan University of Science & Technology;;822;3368;1823;2260
2039;Mbarara University of Science and Technology;;7668;2190;3734;2226
2041;Murray State University;;4405;1463;2450;2899
2041;Gaziosmanpaşa University;;4717;5380;1876;1498
2041;Hanken School of Economics / Hanken Svenska handelshögskolan;;3304;4947;836;1872
2041;Jiangxi Agricultural University / 江西农业大学;;5574;1875;6855;1995
2041;Kongju National University / 공주대학교;;1574;4950;2090;1685
2041;University of South Florida St Petersburg;;5492;4077;4568;1481
2041;Drake University;;3575;1255;1924;3198
2048;Morehouse School of Medicine;;4505;3647;1275;2119
2048;Saha Institute of Nuclear Physics;;8915;8744;1235;967
2050;Nazarbayev University;;2773;4399;974;2016
2051;University of Peradeniya;;1435;5465;1431;1692
2052;Escuela Superior Politécnica del Litoral;;124;1906;2938;2899
2052;Gakushuin University / 学習院大学;;2592;2420;1508;2620
2054;Gallaudet University;;3518;917;3036;3414
2054;University of Sharjah;;4940;4969;520;1957
2056;Huaibei Normal University (Coal Industry Normal College) / 淮北师范大学;;7744;2340;6616;1799
2056;Kyorin University / 杏林大学;;3891;3862;4740;1592
2058;Cumhuriyet University;;2408;4266;1840;1896
2059;Utsunomiya University / 宇都宮大学;;3161;3233;1620;2260
2059;Marist College;;1448;511;3678;3972
2061;National Kaohsiung First University of Science & Technology;;1396;3675;1540;2203
2062;Ngee Ann Polytechnic;;7395;3743;2067;1912
2063;University of Kalyani;;10900;2830;2473;2119
2064;Near East University / Yakın Doğu University;;912;3476;814;2533
2065;Royal College of Art;;4279;798;4456;3332
2065;Université du Québec Outaouais;;3767;3511;1544;2164
2067;Universitetet i Sørøst-Norge;;5069;4684;2107;1698
2068;Ostfold University College / Høgskolen i Østfold;;1608;1188;2391;3332
2069;Coastal Carolina University;;4233;1775;2128;2815
2070;Universidad Nacional del Comahue;;3556;3509;2653;2022
2071;Sastra University;;7098;6533;1976;1303
2071;(1) Shivaji University;;6072;6943;1325;1353
2073;Université du Québec Rimouski;;4560;4532;1426;1882
2073;Voronezh State University / Воронежский государственный университет;;1360;1826;2630;2858
2073;Guilin University of Technology / 桂林理工大学;;5459;4328;2445;1746
2073;King Khalid University;;3685;4296;1588;1947
2073;South China Agricultural University / 华南农业大学;;2118;10349;1338;897
2078;Ferris State University;;3252;872;4149;3381
2078;Hebei University of Engineering / 河北工程大学;;6093;2015;4876;2267
2078;İnönü University Malatya;;2062;3992;2014;2022
2081;Nanjing Institute of Technology / 南京工程学院;;4827;1635;6715;2248
2082;School of Advanced Study University of London;;2000;1159;3492;3198
2082;A T Still University;;6210;2301;1613;2620
2084;Poznań University of Life Sciences / Uniwersytet Przyrodniczy w Poznaniu;;3213;5917;1817;1526
2084;Universidad Industrial de Santander;;2251;4235;1383;2070
2086;CUNY Brooklyn College;;2665;6500;1026;1585
2086;Istituto di studi avanzati di Lucca IMT;;7995;4919;1101;1808
2086;University of Peloponnese;;3024;3343;2038;2203
2089;University of Medicine and Pharmacy Iuliu Hatieganu Cluj Napoca;;4128;5325;1703;1648
2089;Korea Institute for Advanced Study / 고등과학원;;3665;6814;1284;1449
2091;Meijo University / 名城大学;;4046;3664;1492;2175
2092;École pratique des Hautes Études EPHE (comUE Université Paris PSL);;8288;5727;9431;687
2092;Universidade Federal Rural do Rio de Janeiro UFRRJ;;1861;4167;1772;2044
2094;Mount Royal University;;3779;1767;2328;2858
2095;Óbuda University (Budapest Polytechnic) / Óbudai Egyetem;;2147;3365;1453;2369
2095;Bharathidasan University;;488;6450;1700;1603
2097;Emerson College;;1463;1041;2551;3556
2097;Indian Agricultural Research Institute;;8281;5489;1293;1626
2099;Bahçeşehir Üniversitesi;;6880;4358;2361;1763
2100;Universidad del Desarrollo;;1181;4180;1963;2058
2101;Universität Erfurt;;2516;2153;2058;2765
2101;Evergreen State College;;2443;693;1955;3972
2103;Shanghai Institute of Technology / 上海应用技术大学;;4165;2952;6463;1755
2104;University of Wisconsin Stout;;3321;1202;2602;3275
2104;Beijing University of Civil Engineering & Architecture / 北京建筑工程学院;;2773;2385;4409;2292
2106;National Institute of Science Education and Research;;7438;8456;1361;1100
2106;Universitas Pendidikan Indonesia;;541;990;1573;3860
2108;Universidade Estadual do Oeste do Paraná UNIOESTE;;1510;2839;2284;2486
2108;ESIEE Paris (comUE Université Paris Est);;7360;4148;1504;1982
2108;Panjab University;;3213;3645;11401;705
2111;Pontificia Universidade Católica do Minas Gerais PUC MINAS;;1537;2634;2405;2551
2112;Università degli Studi di Teramo;;2523;5024;1156;1933
2112;University of Primorska / Univerza na Primorskem;;1120;4302;2399;1990
2112;Technological Education Institute of Athens;;2130;3063;2226;2369
2115;Indiana University South Bend;;7963;2588;2588;2353
2116;China Europe International Business School / 中欧国际工商学院;;5477;2361;1666;2649
2117;Bloomsburg University of Pennsylvania;;4081;1509;2531;3037
2118;Universidad de las Américas Puebla;;1553;2160;1736;2899
2118;Northern Michigan University;;2623;1053;2191;3556
2120;Shenyang Agricultural University / 沈阳农业大学;;5926;1960;5629;2267
2121;Universidade Estadual de Feira de Santana UEFS;;2829;3769;1529;2230
2122;Vet Agro Sup / Institut d'Enseignement Supérieur et de Recherche en Alimentation Santé animale sciences agronomiques et de environnement (comUE Université de Lyon);;5858;5897;2291;1449
2122;Depauw University;;2985;1032;3976;3310
2124;Shaoxing University / 绍兴文理学院;;4967;2795;6173;1857
2124;University of Agriculture Faisalabad;;6187;7837;1454;1245
2124;(3) Universidade Lusófona de Humanidades e Tecnologias;;2560;3374;2943;2140
2124;Indian Institute of Technology (Banaras Hindu University) Varanasi;;9227;7097;1007;1407
2128;Bialystok Technical University / Politechnika Białostocka;;3274;3986;2860;1947
2129;University of Nigeria;;1945;3123;1501;2542
2129;Washington & Lee University;;1981;673;2978;3925
2129;University of Michigan Flint;;3833;1721;2276;2966
2132;College of Wooster;;3569;1443;1965;3226
2133;University of Tennessee Martin;;2549;211;5561;4409
2134;International University of Health and Welfare / 国際医療福祉大学;;6844;4268;1296;2033
2134;Atilim University;;3697;4651;2850;1746
2134;Dalian Nationalities University / 大连民族学院;;5607;2264;5209;2203
2137;Illinois Wesleyan University;;2968;1495;2538;3124
2138;Eastern Washington University;;2646;1170;3321;3275
2138;National Institute of Technology Calicut;;6210;3678;1595;2175
2140;Mahasarakham University;;139;2657;3288;2649
2140;Hyogo College of Medicine / 兵庫医科大学;;7318;4966;4268;1427
2140;Université de Rennes II / Université Rennes II Haute Bretagne (comUE Université Bretagne Loire);;2389;2272;2528;2692
2140;Universidad Autónoma de Querétaro;;3026;4541;1180;2093
2144;Universidad Pontificia Bolivariana;;2588;2055;2689;2782
2145;University of Tanta;;4183;7757;1339;1340
2146;Sodertorns University College / Södertörns högskola;;4298;3337;1662;2353
2147;Guru Nanak Dev University;;10111;6645;1384;1440
2147;Universidade Presbiteriana Mackenzie;;2534;2744;1214;2765
2149;National Kaohsiung Normal University;;1378;2596;3964;2428
2149;National Pingtung University of Science & Technology;;1349;3980;3169;2030
2149;University of Puget Sound;;2683;1602;2599;3081
2149;Dalarna University College / Högskolan Dalarna;;2944;3336;2607;2241
2153;University of Nova Gorica / Univerza v Novi Gorici;;2124;6238;1178;1731
2154;CUNY Baruch College;;1778;6966;807;1706
2154;(1) Dong Eui University / 동의대학교;;2247;2507;4573;2344
2156;Hubei Normal University / 湖北师范大学;;6231;2127;5407;2277
2156;Universidad Nacional de Quilmes;;3168;2257;1633;2858
2158;University of Mazandaran Babolsar;;2044;7112;1860;1440
2158;Fayetteville State University;;4717;2408;2008;2662
2160;Norfolk State University;;8355;1800;2654;2803
2160;Osaka Medical College / 大阪医科大学;;6751;4174;3092;1821
2162;Ivan Franko National University of Lviv / Львівський національний університет Івана Франка;;1590;2038;2640;2879
2162;Universiti Malaysia Sarawak;;1742;4500;1547;2114
2162;King Faisal University;;2101;4441;2018;2022
2165;Balikesir University;;3206;3533;2188;2248
2166;Dalian University / 大连大学;;6987;2121;5227;2303
2166;Universidad de Colima;;1884;2566;1253;2879
2168;Pacific University Oregon;;3533;1216;3085;3310
2168;Providence College;;4218;1847;2842;2858
2170;Minzu University of China (Central University for Nationalities) / 中央民族大学;;3099;2135;7082;2132
2170;Josip Juraj Strossmayer University of Osijek;;702;3860;2962;2175
2172;Dalian Polytechnic University / 大连工业大学;;5858;2660;3925;2267
2173;University of Western Macedonia;;3077;4397;2470;1957
2173;Texas Southern University;;6231;2102;1649;2879
2175;University of Khartoum;;274;4312;1647;2334
2175;Bordeaux INP / Institut Polytechnique de Bordeaux (ComUE d'Aquitaine);;6916;6896;5780;961
2177;University Centre in Svalbard;;9790;4308;2083;1896
2178;Universidade Católica de Brasilia;;2637;3462;1535;2449
2178;Universidade Federal Rural de Pernambuco UFRPE;;1877;5301;2001;1829
2178;Minnesota State University;;2054;659;2144;4140
2181;Silpakorn University;;406;2687;3293;2632
2182;Afyon Kocatepe University;;3043;3873;2314;2148
2183;Ecole Nationale Supérieure de Chimie de Montpellier ENSCM (comUE Languedoc Roussillon Universités);;12967;9848;1757;882
2183;Technische Hochschule Köln / TH Köln University of Applied Sciences;;2304;2355;2992;2662
2185;Universidad del Bío-Bío;;1890;2677;2639;2615
2185;University of Illinois Springfield;;2844;1352;2186;3414
2187;Technical University of Liberec / Technická Univerzita v Liberci;;1217;3203;3332;2353
2187;Mercer University;;3730;1369;2317;3332
2189;Universitas Hasanuddin;;1032;1585;3423;3150
2190;Anyang Normal University / 安阳师范学院;;15007;2440;6723;1877
2190;Nara Women's University / 奈良女子大学;;3460;3466;2400;2286
2192;Universidade Eduardo Mondlane;;1043;1734;6927;2542
2192;Denison University;;3930;1600;2419;3150
2194;Canisius College;;4340;1836;1795;3098
2194;Technical University of Lodz / Politechnika Łódzka;;1310;9209;1509;1229
2194;Universidad Nacional de Rosario;;1778;1520;11401;1472
2197;Universidade Estadual de Montes Claros UNIMONTES;;1985;2030;2456;2966
2197;Al Imam Muhammad Ibn Saud Islamic University;;2857;4348;1958;2093
2199;Al Azhar University;;2013;6954;2537;1446
2200;Hogeschool van Arnhem en Nijmegen HAN;;2762;2067;2897;2835
2201;Kunsan National University / 군산대학교;;2821;4053;1909;2194
2201;EDHEC Business School (comUE Université Côte d'Azur);;4007;2841;1626;2662
2203;Biola University;;2173;818;4546;3655
2203;Christopher Newport University;;4455;1953;1979;3004
2203;Central South University of Forestry & Technology / 中南林业科技大学;;4035;2609;5788;2132
2203;Queen Margaret University;;6445;3272;1928;2369
2207;John Carroll University;;3378;1899;2246;3037
2207;Kyonggi University / 경기대학교;;11663;4149;2617;1896
2209;Iwate Medical University / 岩手医科大学;;6663;4932;3367;1652
2209;Kutztown University;;4413;1599;3387;3004
2209;Northeastern Illinois University;;4258;1503;2925;3150
2209;Pacific Lutheran University;;4233;1401;3330;3177
2209;University of Bridgeport;;5715;1637;2678;3058
2209;Chengdu University of Information Technology / 成都信息工程大学;;4897;1815;5092;2615
2209;Tshwane University of Technology;;6588;5710;1846;1671
2216;Xihua University / 西华大学;;4394;2169;6114;2292
2217;University of Winchester;;8975;2825;1684;2579
2217;Dunarea de Jos University Galati;;3068;3263;2915;2334
2217;Abant Izzet Baysal University;;2918;4058;2054;2175
2220;Troy University;;5165;1360;3117;3226
2220;Universität Hildesheim;;1734;1843;2545;3098
2220;Lithuanian University of Health Science (Kaunas University of Medicine, Veterinary Academy) / Lietuvos sveikatos mokslų universitetas (Kauno Medicinos Universitetas);;1742;5077;3810;1714
2220;Chongqing Jiaotong University / 重庆交通大学;;3640;2431;6143;2194
2224;Barry University;;4887;1794;2684;2986
2225;Institute of Mathematical Sciences;;4671;4432;1565;2114
2226;University of Colombo;;1124;4030;1743;2357
2226;Valdosta State University;;3537;1131;2917;3522
2228;Huaihai Institute of Technology / 淮海工学院;;5525;1973;5321;2518
2228;University of Mumbai;;3640;3166;2521;2428
2230;Universidad Nacional Costa Rica;;160;1715;7490;2649
2230;Drew University;;4505;1031;3332;3556
2232;Kanazawa Medical University / 金沢医科大学;;6370;5006;2510;1780
2233;University of Hradec Králové / Univerzita Hradec Králové;;2518;3342;2146;2468
2233;Yunnan Normal University / 云南师范大学;;3321;1441;10987;1746
2233;Pontificia Universidade Católica de São Paulo PUC-SP;;87;1482;848;3972
2233;Birla Institute of Technology Mesra Ranchi;;6844;5972;960;1836
2237;University Stefan Cel Mare of Suceava;;2851;3025;3026;2449
2237;Nara Medical University / 奈良県立医科大学;;6784;5113;2274;1787
2237;Rhodes College;;4209;1564;2410;3226
2240;California State University Bakersfield;;3850;1679;2163;3198
2241;University of Portland;;4717;2006;2513;2921
2242;Waterford Institute of Technology;;4641;3507;2806;2248
2242;Université Libanaise;;194;6047;2409;1866
2244;University of Sunderland;;3061;1210;1478;3735
2244;University of Detroit Mercy;;4377;1461;2594;3275
2244;Can Tho University;;1966;2537;3127;2683
2247;Obafemi Awolowo University;;3785;3728;2596;2230
2247;Scottish Association for Marine Science;;9314;5837;1324;1746
2249;Lawrence Technological University;;7318;1771;2262;3058
2249;Cork Institute of Technology;;5053;3435;1926;2404
2249;Wakayama Medical College / 和歌山県立医科大学;;7256;5653;2692;1603
2249;University of Scranton;;2733;1452;1734;3522
2253;Tuskegee University;;9257;1945;2677;2858
2254;Da Yeh University;;1185;2770;4322;2486
2254;St Marianna University School of Medicine / 聖マリアンナ医科大学;;7360;4731;3116;1787
2256;(1) Luoyang Normal University / 洛阳师范学院;;10986;4043;3907;1836
2256;Télécom SudParis Institut National des Telecommunications;;7744;5433;1747;1795
2258;Shahid Chamran University of Ahvaz;;133;7643;2206;1611
2258;EM Lyon Business School;;2166;3848;1500;2468
2260;École Centrale de Marseille;;8398;6410;3671;1353
2260;Guangdong Ocean University / 广东海洋大学;;4608;1976;6674;2369
2262;Samford University;;4630;1112;2486;3625
2263;Instituto Tecnológico de Aeronáutica ITA;;4630;4363;1532;2203
2264;Istanbul Aydin University / Ýstanbul Aydýn Üniversitesi;;4088;5112;3017;1780
2264;Xiamen University of Technology (Lujiang University) / 厦门理工学院;;5629;2104;5251;2502
2266;University of Wisconsin River Falls;;5858;2060;4080;2683
2266;Jan Kochanowski University of Humanities and Sciences (Swietokrzyska Pedagogical University) / Uniwersytet Humanistyczno Przyrodniczy Jana Kochanowskiego w Kielcach;;2941;4479;2704;2044
2268;Guizhou Normal University / 贵州师范大学;;5432;1644;7984;2344
2269;Nelson Mandela University;;3718;6131;2192;1677
2270;Prairie View A&M University;;3396;2168;1980;3037
2270;University of Miskolc / Miskolci Egyetem ME;;1471;2276;2563;2966
2272;Universidad Tecnológica de Pereira;;1574;3856;1893;2438
2272;York Saint John University;;4103;1933;2819;3004
2274;Rhode Island College;;4864;1231;3094;3446
2274;International Islamic University Islamabad;;3316;6735;1093;1780
2276;Slovak University of Agriculture in Nitra / Slovenská poľnohospodárska univerzita v Nitre;;698;2669;3122;2782
2276;Arcadia University;;4443;1634;2634;3198
2278;Liverpool Hope University;;6258;2880;2384;2579
2278;Noshirvani Institute of Technology Babol;;5032;10357;1560;999
2278;Kharkiv National University VN Karazin / Харківський національний університет В Н Каразіна;;1360;3273;3929;2369
2281;Taif University;;5888;5405;2657;1734
2282;Kansai Medical University / 関西医科大学;;7067;4824;2540;1888
2283;KIIT University Kalinga Institute of Industrial Technology;;9666;5158;1323;1973
2283;Universidad del Valle Cali;;1085;1943;10542;1821
2283;Urmia University;;4204;6978;2376;1493
2286;Zhejiang University of Science & Technology / 浙江科技学院;;4550;1699;6241;2632
2286;Clark Atlanta University;;8594;2639;2407;2632
2286;National Taichung University;;1608;2706;3176;2692
2289;Malaviya National Institute of Technology;;8041;6281;989;1821
2289;Nipissing University;;3702;2377;2047;2921
2289;Osmania University Hyderabad;;11108;4276;2216;2033
2289;Universidad Nacional de San Luis;;2353;3348;2116;2563
2293;Xi'An University of Science & Technology / 西安科技大学;;4525;1921;5633;2615
2294;Covenant University Ota;;1480;3178;2690;2599
2294;Kean University;;3865;1234;2573;3591
2296;Technological Education Institute of Thessaloniki;;3551;3469;2413;2438
2297;University of Houston Clear Lake;;4193;2223;2544;2921
2297;Kochi University of Technology / 高知工科大学;;3419;3472;1943;2533
2297;Roosevelt University;;8048;1834;2242;3098
2300;Pittsburg State University;;5459;1664;2257;3253
2300;Helwan University;;4193;6674;2300;1580
2300;Thompson Rivers University;;3239;1702;1987;3332
2303;Dicle University;;4377;5080;2580;1896
2304;Beijing Union University / 北京联合大学;;4482;1667;6369;2662
2304;École Nationale Vétérinaire de Toulouse (comUE Université de Toulouse);;13077;6337;1538;1635
2306;Yazd University;;3321;7712;1637;1515
2307;Salisbury University;;4103;1540;2769;3310
2307;University of Indianapolis;;3202;1738;3502;3098
2309;Xavier University of Louisiana;;6118;2369;2459;2815
2309;Muhlenberg College;;4455;1845;3568;2986
2311;Tokyo University of Marine Science & Technology / 東京海洋大学;;4183;3959;2037;2334
2311;(2) Centro Agronómico Tropical de Investigación y Enseñanza;;3505;3491;1452;2632
2313;Estonian University of Life Sciences / Eesti Maaülikool;;1349;6159;2013;1853
2313;Université des Sciences et de la Technologie Houari Boumediene;;1230;6468;2957;1677
2315;University of the Sciences in Philadelphia;;8041;3350;2126;2449
2316;(1) Zhejiang Ocean University / 浙江海洋大学;;5858;3055;4601;2260
2317;Taibah University;;4146;6078;2298;1734
2317;Ternopil National Economy University / Тернопільський національний економічний університет;;1396;549;2286;4479
2317;Dublin Institute For Advanced Studies DIAS;;2925;4565;2212;2156
2317;Durban University of Technology;;2601;4733;1542;2248
2321;University of Fort Hare;;8398;2877;2415;2599
2322;Truman State University;;761;1056;4065;3735
2322;Muğla Sıtkı Koçman University;;2543;4478;1920;2260
2322;Alfred University;;5574;1642;2783;3226
2325;Alliant International University;;5696;3030;2756;2551
2325;Vlerick Leuven Gent Management School;;6784;4265;1829;2226
2327;Adnan Menderes University;;1778;4408;1576;2391
2327;Graduate Institute of International Studies Geneva;;3481;3768;931;2692
2329;Indian Institute of Science Education and Research Kolkata;;5955;7308;924;1717
2330;Shippensburg University of Pennsylvania;;1901;989;3152;3860
2331;University of Hartford;;3161;1019;2220;3925
2332;Indiana University System;;46;116;253;6033
2333;Universidade de Caxias do Sul;;2760;3335;2515;2563
2333;Universitat de Vic Universitat Central de Catalunya;;1900;3400;2103;2632
2335;University of South China (Nanhua University) / 南华大学;;6170;3417;8568;1578
2335;Hanze University Groningen / Hanzehogeschool Groningen;;2045;2113;3430;3004
2335;Dongguan University of Technology / 东莞理工学院;;3965;2147;4724;2735
2338;Suez Canal University;;2971;5992;6988;1272
2339;Tatung University;;2242;4212;3275;2194
2339;Menzies School of Health Research;;10447;8429;934;1464
2341;Metropolitan State University of Denver;;3505;2315;2865;2943
2341;Campbell University;;5098;1867;3696;3004
2341;Tokyo Denki University / 東京電機大学;;3537;2858;2159;2803
2344;Ahmadu Bello University;;2137;3967;2909;2344
2345;Universidade Estadual da Paraíba UEPB;;1887;3219;3107;2599
2346;Ahvaz Jundishapur University of Medical Sciences;;1070;8081;1986;1558
2347;Gansu Agricultural University / 甘肃农业大学;;4717;1701;7716;2533
2347;Universidad Autónoma del Estado de Morelos;;3361;5104;1550;2175
2349;Alfaisal University;;4298;7290;2092;1570
2349;Alzahra University (Azzahra University);;1385;5587;2418;1998
2349;Motilal Nehru National Institute of Technology;;6531;6446;1934;1717
2349;University of Wisconsin Stevens Point;;1471;651;2367;4409
2353;Poznan University of Economics / Uniwersytet Ekonomiczny w Poznaniu;;2304;2180;2339;3177
2353;Hashemite University;;2867;5803;1966;1947
2355;Trakya University;;2114;4121;2139;2428
2356;Western Norway University of Applied Sciences / Høgskulen på Vestlandet;;4843;7222;2162;1570
2356;Khalifa University;;10753;10529;1169;1067
2358;Kafkas University / Kafkas Üniversitesi;;6141;5459;2981;1808
2358;Longwood University;;2660;1610;2441;3482
2360;Fukuoka Institute of Technology / 福岡工業大学;;4017;3225;3656;2468
2360;Konan University / 甲南大学;;3487;3877;1888;2518
2360;Bellarmine University;;5032;2054;3079;3037
2363;Augsburg College;;2975;1769;2990;3275
2364;University of Craiova;;2452;3730;2825;2480
2365;Hochschule Furtwangen;;5696;1659;2996;3275
2365;(1) Korea Aerospace University (Hankuk Aviation University) / 한국항공대학;;5008;3699;1816;2563
2367;Texas A&M International University;;3171;2266;1883;3198
2367;Universidad Autónoma de Ciudad Juárez;;3556;3521;1184;2803
2367;Capital University of Economics & Business / 首都经济贸易大学;;2874;1442;6030;3081
2370;Indian Institute of Technology Gandhinagar;;4446;4390;1594;2391
2371;University of Alaska Anchorage;;2268;7003;1811;1787
2371;Medical University of Bialystok / Uniwersytet Medyczny w Białymstoku;;2862;6095;2961;1787
2371;Université Mohammed Premier Oujda;;4310;10062;2587;1057
2374;(1) Dumlupinar University;;2841;7255;2733;1592
2375;Bishop's University;;5112;2290;1968;3124
2375;Hunan University of Technology / 湖南工业大学;;8339;4623;5411;1724
2377;Beijing Information Science & Technology University / 北京信息科技大学;;5259;2474;4399;2662
2377;Sichuan University of Science & Engineering / 四川理工学院;;4864;2202;7693;2319
2379;Universidade Estácio de Sá;;3355;2821;1705;3004
2380;Aichi Medical University / 愛知医科大学;;9790;5204;3508;1799
2380;University of Zambia;;782;6341;2869;1877
2382;University of Lapland / Lapin yliopisto / Lapplands Universitet;;2184;3327;2019;2782
2383;Ateneo de Manila University;;1198;2840;2452;2986
2384;Meharry Medical College;;9911;4249;2620;2185
2384;Universidad de San Carlos de Guatemala;;191;1198;4598;3779
2386;Gustavus Adolphus College;;1700;1270;3461;3696
2386;Hanbat National University / 한밭대학교;;3155;6182;2007;1914
2386;CUNY John Jay College of Criminal Justice;;4046;7848;1015;1755
2386;Pontificia Universidad Católica del Ecuador;;312;4365;2023;2615
2390;Chimie ParisTech / École Nationale Supérieure de Chimie de Paris ENSCP (comUE Université Paris PSL);;15051;10561;771;1148
2390;Universidad Autónoma de Sinaloa;;3575;6884;1390;1882
2392;Kermanshah University of Medical Sciences;;1768;6948;2207;1799
2393;Pomeranian Medical University / Pomorski Uniwersytet Medyczny w Szczecinie;;3651;7587;1767;1662
2394;Katholische Universität Eichstätt Ingolstadt;;2654;3096;2828;2765
2394;University of Allahabad;;12805;6082;1930;1795
2396;Institut National des Sciences Appliquées de Rennes/ INSA Rennes (comUE Université Bretagne Loire);;10539;5890;1534;1947
2397;Inner Mongolia University of Technology / 内蒙古工业大学;;5888;2008;7005;2551
2397;Kharazmi University (Tarbiat Moallem University Tehran);;1471;8358;1741;1620
2399;University of Zanjan;;4218;6881;2230;1737
2399;Shanxi Normal University / 山西师范大学;;5211;2404;7971;2219
2401;Shanxi Medical University / 山西医科大学;;4316;2646;9325;1888
2401;Tianjin University of Commerce / 天津商业大学;;5511;1865;5619;2835
2401;Universidade Estadual do Ceará;;1802;4191;2004;2551
2404;Kettering University;;7205;1460;3065;3482
2404;National Institute of Technology Karnataka;;5840;5743;3058;1836
2406;Hogeschool van Amsterdam HvA;;2844;1850;2619;3414
2406;California State University Monterey Bay;;3702;1787;1996;3522
2406;Universitas Lampung;;112;1046;3481;4140
2406;Universidade de Passo Fundo;;2124;3547;2308;2716
2410;Anhui University of Science & Technology / 安徽理工大学;;5112;1688;10235;2105
2411;École Supérieure des Sciences Économiques et Commerciales ESSEC (comUE Université Paris Seine);;4298;3792;1403;2735
2411;Mae Fah Luang University;;2235;5921;2108;2033
2413;Far Eastern Federal University / Дальневосточный федеральный университет;;1875;5765;4123;1829
2413;Stephen F Austin State University;;2019;1026;3747;3925
2415;University of Montenegro / Univerzitet Crne Gore;;2523;5808;1609;2140
2415;(1) Nanjing University of Chinese Medicine / 南京中医药大学;;9555;1744;11401;1515
2417;Université de Lyon III / Université Jean Moulin Lyon III (comUE Université de Lyon);;3006;2469;3131;3004
2418;Changwon National University / 창원대학교;;2196;6412;1832;1998
2419;Kaunas University of Technology / Kauno technologijos universitetas;;2111;3754;6730;2033
2419;Mazandaran University of Medical Sciences Sari;;1643;7779;1997;1714
2419;Minia University;;3245;7909;1332;1746
2422;Moscow Power Engineering Institute / Национальный исследовательский университет МЭИ;;2355;2579;3048;3004
2423;Institut d'Optique Graduate School IOGS ParisTech (comUE Université Paris Saclay);;6663;7355;660;1966
2424;Islamic Azad University South Tehran;;3640;7607;3240;1515
2424;Regent University;;5276;1261;3681;3625
2424;Roger Williams University;;5259;1884;2988;3275
2424;North Eastern Federal University MK Ammosova (Yakutsk State University) / Северо-Восточный федеральный университет М К Аммосова (Якутский государственный университет);;1756;2670;3313;2966
2428;Université Abou Bekr Belkaid Tlemcen;;683;4466;2688;2502
2429;Mokpo National University / 목포대학교;;5753;5229;2511;2070
2429;Maharaja Sayajirao University of Baroda;;4967;5912;1885;2016
