10171;Hubei Science and Technology College / 湖北科技职业学院;;21948;6370;11401;6033
10171;Karakarum International University;;17048;13405;5046;6033
10171;Wayne Community College;;10962;7242;11401;6033
10171;Wor Wic Community College;;14441;7005;11401;6033
10171;Universidad Nacional Santiago Antunez de Mayolo;;3244;13910;10875;5288
10178;Sekolah Tinggi Ilmu Kesehatan STIKES Muhammadiyah Kudus;;14562;12043;7273;6033
10178;Gauhati Commerce College;;23243;6248;11401;6033
10178;Guangdong Justice Police Vocational College / 广东司法警官职业学院;;17405;6809;11401;6033
10178;Jawaharlal Nehru Medical College;;7624;14417;4602;6033
10178;Kobe City College of Technology / 神戸高専;;3930;12067;8387;6033
10178;LeMoyne Owen College;;11247;7236;11401;6033
10184;Melitopol State Pedagogical University / Мелітопольський державний педагогічний університет;;5410;7685;11401;6033
10184;Nashua Community College;;13905;7062;11401;6033
10184;National Institute of Bank Management Pune;;13182;12956;6188;6033
10184;Sichuan Modern Vocational College / 四川现代职业学院;;12875;7135;11401;6033
10184;Cherkasy State Technological University / Черкаський державний технологічний університет;;5888;14172;5159;6033
10184;Kolding Design School / Designskolen Kolding;;7098;7528;11401;6033
10184;Grodno State Agrarian University / Гродненский государственный аграрный университет;;3965;14452;5118;6033
10184;SRH Hochschule Heidelberg;;14683;7007;11401;6033
10184;Ukrainian National Tchaikovsky Academy of Music;;10995;13019;6332;6033
10193;Hochschule für Musik und Darstellende Kunst Frankfurt am Main;;7025;7551;11401;6033
10193;Universidad Nacional de las Artes;;3721;7925;11401;6033
10193;Politeknik Negeri Batam;;5653;13711;5920;6033
10193;Ryotokuji University / 了徳寺大学;;11158;12072;7634;6033
10193;Tay Bac University;;6370;7601;11401;6033
10193;Webb Institute;;14752;9509;10180;6033
10193;Warsaw School of Computer Science / Warszawska Wyższa Szkoła Informatyki;;10469;11364;8573;6033
10193;Yunnan Vocational College of Culture and Art / 云南文化艺术职业学院;;15151;6988;11401;6033
10201;Vilnius Academy of Fine Arts / Vilniaus dailės akademija;;6141;7631;11401;6033
10201;Lord Fairfax Community College;;7318;7542;11401;6033
10201;Liaoning Police College / 辽宁警察学院;;17462;6837;11401;6033
10201;Vologda State Dairy Academy / Вологодская государственная молочнохозяйственная академия Н В Верещагина;;7728;12530;7369;6033
10201;Northern University Bangladesh;;13200;12474;6908;6033
10201;Anhui Post and Telecommunication College / 安徽邮电职业技术学院;;16006;6945;11401;6033
10201;Barton Community College;;8831;7433;11401;6033
10201;Denmark Metrology Institute;;24240;13339;4142;6033
10209;Alberta College of Art & Design;;12890;7175;11401;6033
10209;Carteret Community College;;15467;6989;11401;6033
10209;Uttarakhand Open University;;5840;11437;8919;6033
10209;Karaganda State Medical University / Карагандинский Государственный Медицинский Университет;;4594;13411;6597;6033
10209;K L N College of Engineering;;14512;13249;5656;6033
10209;Songyuan Vocational & Technical College / 松原职业技术学院;;16858;6899;11401;6033
10209;Tatung Institute of Technology;;3505;7989;11401;6033
10209;Shanghai Lida Polytechnic Institute / 上海立达职业技术学院;;9859;7362;11401;6033
10209;Institute of Engineering & Technological Training Multan;;19404;11196;8001;6033
10209;New York College;;9399;10157;9975;6033
10209;Royal Academy of Visual Arts / Rijksakademie van Beeldende Kunsten;;12414;7212;11401;6033
10220;Myerscough College;;14313;7074;11401;6033
10220;Nicolet College;;7484;7557;11401;6033
10220;Federal University Lokoja Kogi State;;17771;12443;6451;6033
10220;Fuzhou Software Technology Vocational College / 福州软件职业技术学院;;12312;7227;11401;6033
10220;Hunan Traditional Chinese Medical College / 湖南中医药高等专科学校;;11011;7305;11401;6033
10220;Yiyang Medical College / 益阳医学高等专科学校;;10199;7357;11401;6033
10220;Andrzej Frycz Modrzewski Krakow University College / Krakowska Akademia im Andrzeja Frycza Modrzewskiego;;4940;7791;11401;6033
10220;Koriyama Women's University & College / 郡山女子大学;;10207;10191;11401;5580
10220;Chuxiong Medical and Pharmaceutical College / 楚雄医药高等专科学校;;13472;7152;11401;6033
10220;Universitas Sulawesi Barat;;9733;7393;11401;6033
10220;University of Palestine;;2399;13471;7024;6033
10220;Velagapudi Ramakrishna Siddhartha Engineering College;;16150;13851;4563;6033
10220;Sichuan Tourism University / 四川旅游学院;;10562;7337;11401;6033
10233;Sekolah Tinggi Ilmu Kesehatan STIKES Sari Mulia Banjarmasin;;7995;10481;9812;6033
10233;École Supérieure de Journalisme de Lille;;10199;7367;11401;6033
10233;Open University of Kaohsiung;;3263;8057;11401;6033
10233;Panyapiwat Institute of Management;;3982;11796;8782;6033
10233;Government College of Engineering Salem;;18351;14816;2881;6033
10233;Tianjin Arts and Crafts Professional College / 天津工艺美术职业学院;;20994;6552;11401;6033
10233;Universitas Pertahanan Indonesia UNHAN / Indonesia Defense University;;7983;13174;6508;6033
10233;Higher Education Institution ACECR Khomeinishahr;;15944;8199;10987;6033
10233;National University of Music Bucharest;;12157;10592;9405;6033
10233;Haute École Léonard de Vinci;;6559;7638;11401;6033
10233;Vijayanagara Sri Krishnadevaraya University;;14178;13588;5221;6033
10233;White Mountains Community College;;14607;7073;11401;6033
10245;(1) Luoding Polytechnic / 罗定职业技术学院;;13347;7181;11401;6033
10245;Nagaoka Institute of Design / 長岡造形大学;;10986;7326;11401;6033
10245;Putra Intelek International College;;25603;6050;11401;6033
10245;Asia Pacific Institute of Information Technology Malaysia;;8800;9981;10180;6033
10245;Glion Institute of Higher Education;;13842;7142;11401;6033
10250;Fachhochschule Westkuste;;13495;9529;10273;6033
10250;London Academy of Music and Dramatic Art;;18954;6758;11401;6033
10250;National Taiwan College of Performing Arts;;4310;7920;11401;6033
10250;Tianjin City Vocational College / 天津城市职业学院;;17276;6906;11401;6033
10250;Asia e University;;10825;11802;8105;6033
10250;Conservatorio di Musica G Verdi di Milano;;8898;7478;11401;6033
10250;Jiandong College / 建东职业技术学院;;15774;7013;11401;6033
10257;(3) Novocherkassk engineering and drainage Academy A K Kortunova / Новочеркасской инженерно-мелиоративной академии А К Кортунова;;11058;7348;11401;6033
10257;Guang'an Vocational & Technical College / 广安职业技术学院;;17213;6929;11401;6033
10257;Hebei Finance University / 河北金融学院;;10105;7416;11401;6033
10257;Keisen Jogakuen University / 恵泉女学園大学;;6170;7714;11401;6033
10257;Universidad Nacional de San Martín Tarapoto;;7256;13166;6666;6033
10257;Rijeka Polytechnic;;8536;12987;6760;6033
10257;Sichuan Preschool Educators College / 四川幼儿师范高等专科学校;;11859;7306;11401;6033
10257;Shandong Electric Power College / 山东电力高等专科学校;;18812;6796;11401;6033
10257;Songshan Shaolin Wushu College / 嵩山少林武术职业学院;;11907;7297;11401;6033
10257;Sekolah Tinggi Ilmu Ekonomi STIE Kesatuan Bogor;;14253;13427;5526;6033
10267;Tan Tao University;;11223;14615;4143;6033
10267;Air Force Academy Henri Coandă;;11272;12659;6966;6033
10267;Arizona Christian University (Southwestern College Arizona);;10501;8384;11096;6033
10267;Chengdu Technological University / 成都工业学院;;7624;7603;11401;6033
10267;Clatsop Community College;;9699;7452;11401;6033
10267;College of Menominee Nation;;15985;7019;11401;6033
10267;Vivekanand Education Society Mumbai;;9907;14472;4465;6033
10274;Universitas Muhammadiyah Makassar;;6370;7710;11401;6033
10274;Atria institute of Technology;;24847;10778;7954;6033
10274;Chongqing Energy College / 重庆能源职业学院;;14729;7120;11401;6033
10274;De La Salle University Dasmariñas;;4505;11292;9325;6033
10274;Gábor Dénes College Budapest / Gábor Dénes Főiskola GDF;;11265;12483;7213;6033
10274;Guangdong Literature & Art Vocational College / 广东文艺职业学院;;12681;7273;11401;6033
10274;International Market Institute / Международный институт рынка;;9273;13658;5700;6033
10274;(1) Jiangsu Vocational College of Finance and Economics/ 江苏财经职业技术学院;;12663;7280;11401;6033
10274;Shandong Communication & Media College / 山东传媒职业学院;;9006;7508;11401;6033
10274;Shaanxi Electronic Information Institute / 陕西电子信息职业技术学院;;16215;7014;11401;6033
10274;Texarkana College;;8943;7530;11401;6033
10274;Nazarene Bible College;;8883;7522;11401;6033
10274;National Defence University Islamabad;;12424;11650;8209;6033
10287;Potomac State College West Virginia University;;8683;7549;11401;6033
10287;Faculdades Integradas Aparicio Carvalho FIMCA;;11358;11411;8601;6033
10287;Fukuoka Jo Gakuin University / 福岡女学院大学;;6279;7734;11401;6033
10287;Uttara University;;8379;13100;6683;6033
10287;Wuhan Technical College of Communications / 武汉交通职业学院;;11546;7351;11401;6033
10287;Emily Carr University of Art + Design;;4550;14279;5450;6033
10287;Shanghai Institute of Tourism /上海旅游高等专科学校;;25410;6129;11401;6033
10287;Shaanxi Elyctronic Technical College / 陕西电子科技职业学院;;9195;7518;11401;6033
10295;Shenyang Institute of Technology / 沈阳工学院;;14313;7182;11401;6033
10295;Liuzhou Railway Vocational Technical College / 柳州铁道职业技术学院;;13274;7266;11401;6033
10295;GLOBIS University & Graduate School of Management / グロービス経営大学院;;11653;7368;11401;6033
10295;Kherson National Technical University / Херсонський національний технічний університет;;4864;14208;5512;6033
10295;Business School São Paulo;;24466;13183;10309;5288
10295;Escuela Superior Politécnica Agropecuaria de Manabí;;1366;15930;8369;5580
10301;Canadian International College;;13715;14652;3893;6033
10301;Lurleen B Wallace Community College;;15525;7092;11401;6033
10301;Latter Day Saints Business College;;10207;7472;11401;6033
10301;Athenaeum Pontificium Regina Apostolorum;;10159;9426;10542;6033
10301;Universidad Mesoamericana Guatemala;;2449;8291;11401;6033
10301;G H Patel College of Engineering & Technology;;16670;14037;4363;6033
10301;Hubei Youth Vocational College / 湖北青年职业学院;;11585;7381;11401;6033
10301;Hebei Chemical & Pharmaceutical College / 河北化工医药职业技术学院;;18574;6885;11401;6033
10301;Instituto Federal do Acre IFAC;;3882;13208;7195;6033
10301;Instituto Superior de Educação e Ciências ISEC Lisboa;;15753;15808;8807;5288
10311;Institut des Régions Arides de Médenine;;17696;17944;7680;5064
