ranking;Researcher;University;Citations;H-Index
127;Emelia J Benjamin;Boston University;152687;156
128;Richard K Wilson;Washington University in St Louis;151889;139
129;John McMurray;University of Glasgow;151375;161
130;Yusuke Nakamura;University of Chicago;;
131;Krzysztof Sliwa;Tufts University;150640;171
132;Richard R Nelson;Columbia University;150638;123
133;George Lakoff;University of California Berkeley;150561;99
134;A Parasuraman;University of Miami;150410;87
135;A Bodek;University of Rochester;150303;178
136;John Trojanowski;University of Pennsylvania;149567;196
137;Diederick E Grobbee;University Medical Center Utrecht;149335;178
138;Craig Thompson;Memorial Sloan Kettering Cancer Center;149019;187
139;Karl Popper;London School of Economics;;
140;George E P Box;University of Wisconsin Madison;148589;94
141;Henry Mintzberg;McGill University;148468;110
142;Elizabeth M Ward;NIOSH;;
143;James J Heckman #;University of Chicago;148260;153
144;Andrés Pacheco Pages;Institut de Fisica d'Altes Energies Barcelona;147132;160
145;Brian P Flannery;Resources for the Future;146986;52
146;David Haussler;University of California Santa Cruz;146983;146
147;Simon D M White;Max Planck Gesellschaft MPG;146358;165
148;H Eugene Stanley;Boston University;146333;171
149;Geert Hofstede;University of Maastricht;145974;94
150;Martin Seligman;University of Pennsylvania;145793;136
151;Lev Davidovich Landau;Moscow State University;;
152;Meenakshi Narain;Brown University;144986;137
153;Theodor Adorno;Goethe Universität Frankfurt am Main;144405;140
154;Kevin Lane Keller;Dartmouth College;144363;75
155;Eugene Koonin;National Institutes of Health NIH;143893;182
156;Etienne Wenger Trayner;143833;54;
157;Edward O Wilson;Museum of Comparative Zoology Harvard University;143715;124
158;Nan Laird;Harvard School of Public Health;143687;105
159;Émile Durkheim;Université de Bordeaux;;
160;D Diener;University of Illinois at Urbana Champaign;;
161;Napoleone Ferrara;University of California San Diego;142566;164
162;T W Robbins;University of Cambridge;142537;216
163;Robert J Barro;Harvard University;142406;113
164;David M Strom;University of Oregon;142352;164
165;Charles Robert Darwin;141883;106;
166;Gregory Hannon;Cambridge University;;
167;Richard Frackowiak;University of Lausanne;141444;193
168;Ronald A Fisher;University College London;141386;94
169;David S Johnson;Columbia University;141240;95
170;Lewis Cantley;Weill Cornell Medical College;140585;183
171;William T Vetterling;ZINK Imaging;140567;41
172;David Moher;Ottawa Hospital Research Institute;140237;115
173;Michael W Eysenck;University of Roehampton;140107;154
174;Leroy Hood;Institute for Systems Biology;139972;171
175;Joan Massague;Memorial Sloan Kettering Cancer Cencer;139815;179
176;Clive Granger;University of Nottingham;;
177;Paul Slovic;University of Oregon;139636;135
178;Robert W Vishny;Chicago Booth;139264;62
179;David J Hunter;Harvard University;139263;181
180;John P A Ioannidis;Stanford University;139238;155
181;Jiawei Han;University of Illinois at Urbana Champaign;138777;152
182;David Bartel;Howard Hughes Medical Institute;;
183;Howard Gardner;Harvard University;138630;132
184;Claude E Shannon;Bell Labs;138557;55
185;Deborah Cook;McMaster University;138378;159
186;Rodney Ruoff;Ulsan National University;136758;139
187;Robert Sternberg;Cornell University;136576;179
188;Robert S Kaplan #;Harvard Business School;136376;111
189;Milton Friedman #;University of Chicago;136173;101
190;Simon Baron Cohen;University of Cambridge;136158;165
191;Jan Ake Gustafsson;University of Houston;136142;166
192;James F Sallis;University of California San Diego;136007;160
193;Steven Salzberg;Johns Hopkins University;135837;125
194;Elinor Ostrom;Indiana University;;
195;Raymond J Dolan;University College London;135330;184
196;Alberto Mantovani;Istituto Clinico Humanitas;;
197;Richard Durbin;Wellcome Trust Sanger Institute;134635;113
198;Andrew Ivanov;Kansas State University;134432;164
199;Mark Newman;University of Michigan;134129;92
200;Elaine Jaffe;National Cancer Institute NIH;133603;165
201;Roy Baumeister;University of Queensland;;
202;K Barry Sharpless;Scripps Research Institute;133548;162
203;Sudhir Kumar;Temple University;133484;64
204;Simon Eidelman;Novosibirsk State University;133257;133
205;Paraskevas Paris Sphicas;National and Kapodistrian University of Athens;133229;172
206;Eric Rimm;Harvard University;133135;188
207;Mark P Mattson;National Institutes of Health NIH;132875;193
208;B F Skinner;Harvard University;132254;109
209;Halil Saka;Rutgers University;132099;163
210;Mark Granovetter;Stanford University;131587;55
211;Paul Alivisatos;University of California Berkeley;;
212;Jean Louis Vincent;Université Libre de Bruxelles;130914;149
213;Joseph F Hair Jr;University of South Alabama;130687;59
214;Jeffrey Lieberman;Columbia University;130598;153
215;Harlan Krumholz;Yale University;130324;174
216;John Montgomery;University of Connecticut;130256;49
217;Silvia G Priori;IRCCS Maugeri Fundation;;
218;Donald Truhlar;University of Minnesota;129916;155
219;Matthias Egger;University of Bern;129844;136
220;Hiroshi Takeda;Kyoto University;129617;135
221;Timothy Springer;Harvard Medical School;;
222;John R Anderson;Carnegie Mellon University;128983;132
223;Peter M W Gill;Australian National University;128313;72
224;James S Coleman;University of Chicago;128110;73
225;Piyali Banerjee;IIT Bombay;128095;130
226;Jitendra Malik;University of California Berkeley;127990;107
227;Giovanni Calderini;IN2P3;;
228;Talcott Parsons;Harvard University;127702;115
229;David Altshuler;Harvard University;127259;145
230;Masahiro Morii;Harvard University;127221;147
231;Goncalo Abecasis;University of Michigan;126651;136
232;Chris Sander;Memorial Sloan Kettering Cancer Center;126275;147
233;Douglas Scott;University of British Columbia;126202;109
234;Michael G Marmot;University College London;125882;177
235;Andrea Ventura;Università del Salento;125804;137
236;Douglas Green;St Jude Children's Research Hospital;125801;163
237;Stephen V Faraone;SUNY Upstate Medical University;125782;184
238;Ralph Hruban;Johns Hopkins University;125778;180
239;Daniel R Weinberger;Lieber Institute for Brain Development;125749;182
240;Giuseppe Della Ricca;Universita degli Studi di Trieste;125671;164
241;Jay Barney;University of Utah;125251;78
242;Tony Hunter;Salk Institute for Biological Studies;125048;172
243;B Efron;Stanford University;124384;98
244;Carl Bromberg;Michigan State University;124378;156
245;Adrian L Harris;Oxford University;124350;172
246;Stephen Boyd;Stanford University;124302;103
247;Claudia Patrignani;Università degli Studi di Genova;;
248;George P Chrousos;University of Athens;124190;174
249;Paul Zimmet;Baker IDI Heart and Diabetes Institute;123870;128
250;Terrie E Moffitt;Duke University;123574;164
251;Alessandro Cerri;University of Sussex;123568;148
252;E N Gazis;;123514;138
253;G Remuzzi;Istituto di Ricerche Farmacologiche Mario Negri;123301;157
254;Vivek A Sharma;University of California San Diego;123149;161
255;Mike Robb;Imperial College London;123131;80
256;R H Friend;University of Cambridge;122761;152
257;Antonio Damasio;University of Southern California;122735;99
258;Richard Ming Wah Wong;National University of Singapore;122566;68
259;Robert M May;Oxford University;122529;159
260;Koichiro Tamura;Tokyo Metropolitan University;122497;30
261;I Nonaka;Harvard Business Review;122426;74
262;J V Ortiz;Auburn University;122377;64
263;Michael I Jordan;University of California Berkeley;122267;138
264;Frank Filthaut;Universitair Hoofddocent;;
265;Stephen W Hawking;University of Cambridge;121875;116
266;W Taylor;York University Toronto;121750;158
267;Joao Guimaraes da Costa;Harvard University;121578;153
268;David J Teece;University of California Berkeley;121038;99
269;Eric Torrence;University of Oregon;120922;152
